iteration,epoch,minibatch,8,16,32,64,128
673287,31,17217,0.221,0.195,0.187,0.185,0.185
675473,31,19403,0.221,0.195,0.186,0.185,0.184
677659,31,21589,0.221,0.195,0.186,0.185,0.185
679845,32,1906,0.221,0.195,0.187,0.185,0.184
682031,32,4092,0.221,0.195,0.186,0.185,0.185
684217,32,6278,0.221,0.195,0.187,0.185,0.185
686403,32,8464,0.221,0.195,0.186,0.185,0.184
688589,32,10650,0.221,0.195,0.187,0.185,0.184
690775,32,12836,0.221,0.195,0.187,0.185,0.185
692961,32,15022,0.221,0.194,0.187,0.185,0.185
695147,32,17208,0.221,0.194,0.187,0.185,0.185
697333,32,19394,0.221,0.194,0.187,0.185,0.184
699519,32,21580,0.221,0.194,0.186,0.185,0.184
701705,33,1897,0.221,0.194,0.187,0.185,0.185
703891,33,4083,0.221,0.194,0.187,0.185,0.185
706077,33,6269,0.221,0.194,0.186,0.185,0.184
708263,33,8455,0.221,0.195,0.187,0.185,0.184
710449,33,10641,0.221,0.194,0.187,0.185,0.184
712635,33,12827,0.221,0.195,0.187,0.185,0.184
714821,33,15013,0.221,0.194,0.187,0.185,0.185
717007,33,17199,0.221,0.194,0.187,0.185,0.184
719193,33,19385,0.221,0.194,0.187,0.185,0.184
721379,33,21571,0.221,0.194,0.187,0.185,0.184
723565,34,1888,0.221,0.194,0.187,0.185,0.184
725751,34,4074,0.221,0.194,0.186,0.185,0.184
727937,34,6260,0.221,0.194,0.187,0.185,0.184
730123,34,8446,0.221,0.194,0.186,0.185,0.185
732309,34,10632,0.221,0.194,0.187,0.185,0.184
734495,34,12818,0.221,0.194,0.186,0.185,0.184
736681,34,15004,0.221,0.194,0.187,0.185,0.184
738867,34,17190,0.221,0.193,0.187,0.185,0.184
741053,34,19376,0.221,0.193,0.187,0.185,0.184
743239,34,21562,0.221,0.194,0.187,0.185,0.184
745425,35,1879,0.221,0.193,0.187,0.185,0.184
747611,35,4065,0.222,0.193,0.187,0.185,0.184
749797,35,6251,0.222,0.193,0.186,0.185,0.184
751983,35,8437,0.222,0.193,0.186,0.184,0.184
754169,35,10623,0.222,0.193,0.187,0.185,0.184
756355,35,12809,0.222,0.193,0.187,0.185,0.184
758541,35,14995,0.222,0.193,0.187,0.185,0.184
760727,35,17181,0.222,0.193,0.187,0.185,0.184
762913,35,19367,0.222,0.193,0.187,0.185,0.184
765099,35,21553,0.222,0.193,0.187,0.185,0.184
767285,36,1870,0.222,0.193,0.187,0.185,0.184
769471,36,4056,0.222,0.193,0.187,0.185,0.184
771657,36,6242,0.222,0.193,0.187,0.185,0.184
773843,36,8428,0.222,0.193,0.186,0.184,0.184
776029,36,10614,0.222,0.193,0.187,0.185,0.184
778215,36,12800,0.221,0.193,0.186,0.184,0.184
780401,36,14986,0.222,0.192,0.187,0.185,0.184
782587,36,17172,0.222,0.192,0.187,0.185,0.184
784773,36,19358,0.222,0.192,0.187,0.185,0.184
786959,36,21544,0.222,0.193,0.186,0.185,0.184
789145,37,1861,0.222,0.192,0.187,0.185,0.184
791331,37,4047,0.222,0.192,0.187,0.185,0.184
793517,37,6233,0.222,0.192,0.186,0.184,0.184
795703,37,8419,0.222,0.193,0.187,0.184,0.184
797889,37,10605,0.222,0.192,0.187,0.184,0.184
800075,37,12791,0.222,0.192,0.187,0.185,0.184
802261,37,14977,0.222,0.192,0.187,0.184,0.184
804447,37,17163,0.222,0.192,0.187,0.185,0.184
806633,37,19349,0.222,0.192,0.187,0.184,0.184
808819,37,21535,0.222,0.192,0.186,0.184,0.184
811005,38,1852,0.222,0.192,0.186,0.185,0.184
813191,38,4038,0.222,0.192,0.186,0.185,0.184
815377,38,6224,0.222,0.192,0.186,0.185,0.184
817563,38,8410,0.222,0.192,0.187,0.184,0.184
819749,38,10596,0.222,0.192,0.187,0.184,0.184
821935,38,12782,0.222,0.192,0.187,0.184,0.184
824121,38,14968,0.222,0.192,0.187,0.185,0.184
826307,38,17154,0.219,0.192,0.187,0.184,0.184
828493,38,19340,0.219,0.192,0.186,0.184,0.184
830679,38,21526,0.222,0.192,0.187,0.185,0.184
832865,39,1843,0.219,0.192,0.186,0.184,0.184
835051,39,4029,0.219,0.192,0.187,0.185,0.184
837237,39,6215,0.219,0.192,0.186,0.184,0.184
839423,39,8401,0.219,0.192,0.186,0.184,0.184
841609,39,10587,0.219,0.192,0.186,0.184,0.184
843795,39,12773,0.222,0.192,0.186,0.184,0.184
