iteration,epoch,minibatch,cost,mode_prime,trip_purp,trip_km
623009,29.0,10677.0,15.59406,0.197,0.496,9.391
625195,29.0,12863.0,15.59126,0.197,0.498,9.391
627381,29.0,15049.0,15.59047,0.197,0.498,9.391
629567,29.0,17235.0,15.58864,0.197,0.493,9.39
631753,29.0,19421.0,15.5853,0.197,0.493,9.39
633939,29.0,21607.0,15.58473,0.197,0.492,9.389
636125,30.0,1924.0,15.59059,0.197,0.492,9.388
638311,30.0,4110.0,15.57388,0.197,0.492,9.387
640497,30.0,6296.0,15.55787,0.196,0.495,9.387
642683,30.0,8482.0,15.55397,0.197,0.495,9.387
644869,30.0,10668.0,15.54471,0.196,0.492,9.387
647055,30.0,12854.0,15.54542,0.196,0.496,9.387
649241,30.0,15040.0,15.544,0.196,0.494,9.388
651427,30.0,17226.0,15.54252,0.196,0.496,9.387
653613,30.0,19412.0,15.53836,0.196,0.496,9.387
655799,30.0,21598.0,15.53688,0.196,0.494,9.387
657985,31.0,1915.0,15.52592,0.196,0.492,9.386
660171,31.0,4101.0,15.52167,0.196,0.495,9.386
662357,31.0,6287.0,15.50787,0.196,0.497,9.385
664543,31.0,8473.0,15.50814,0.195,0.496,9.385
666729,31.0,10659.0,15.49587,0.195,0.494,9.385
668915,31.0,12845.0,15.49007,0.195,0.497,9.385
671101,31.0,15031.0,15.489,0.195,0.494,9.386
673287,31.0,17217.0,15.48915,0.195,0.494,9.385
675473,31.0,19403.0,15.48373,0.195,0.495,9.385
677659,31.0,21589.0,15.48221,0.195,0.492,9.384
679845,32.0,1906.0,15.44426,0.195,0.494,9.383
682031,32.0,4092.0,15.44975,0.195,0.495,9.382
684217,32.0,6278.0,15.44813,0.195,0.497,9.382
686403,32.0,8464.0,15.44052,0.195,0.496,9.381
688589,32.0,10650.0,15.43618,0.195,0.494,9.381
690775,32.0,12836.0,15.43323,0.195,0.497,9.381
692961,32.0,15022.0,15.42882,0.195,0.494,9.381
695147,32.0,17208.0,15.42599,0.195,0.495,9.38
697333,32.0,19394.0,15.42353,0.195,0.495,9.38
699519,32.0,21580.0,15.42393,0.195,0.496,9.379
701705,33.0,1897.0,15.4123,0.195,0.495,9.378
703891,33.0,4083.0,15.40969,0.195,0.496,9.377
706077,33.0,6269.0,15.39887,0.194,0.496,9.376
708263,33.0,8455.0,15.39644,0.194,0.493,9.376
710449,33.0,10641.0,15.39613,0.194,0.494,9.376
712635,33.0,12827.0,15.39524,0.194,0.494,9.375
714821,33.0,15013.0,15.39513,0.194,0.497,9.374
717007,33.0,17199.0,15.39434,0.194,0.497,9.373
719193,33.0,19385.0,15.39036,0.194,0.497,9.373
721379,33.0,21571.0,15.38765,0.194,0.497,9.373
723565,34.0,1888.0,15.35986,0.194,0.496,9.371
725751,34.0,4074.0,15.36305,0.194,0.496,9.371
727937,34.0,6260.0,15.36031,0.194,0.497,9.37
730123,34.0,8446.0,15.36104,0.194,0.496,9.37
732309,34.0,10632.0,15.35523,0.194,0.498,9.369
734495,34.0,12818.0,15.35223,0.194,0.499,9.37
736681,34.0,15004.0,15.34701,0.194,0.496,9.37
738867,34.0,17190.0,15.34511,0.193,0.498,9.368
741053,34.0,19376.0,15.34179,0.194,0.496,9.367
743239,34.0,21562.0,15.34454,0.194,0.497,9.367
745425,35.0,1879.0,15.32335,0.194,0.497,9.364
747611,35.0,4065.0,15.32224,0.193,0.497,9.364
749797,35.0,6251.0,15.32127,0.193,0.497,9.363
751983,35.0,8437.0,15.31513,0.193,0.5,9.363
754169,35.0,10623.0,15.31497,0.193,0.497,9.363
756355,35.0,12809.0,15.31137,0.193,0.497,9.362
758541,35.0,14995.0,15.31133,0.193,0.497,9.362
760727,35.0,17181.0,15.31287,0.193,0.498,9.362
762913,35.0,19367.0,15.31124,0.193,0.498,9.359
765099,35.0,21553.0,15.31171,0.193,0.498,9.36
767285,36.0,1870.0,15.29615,0.193,0.497,9.357
769471,36.0,4056.0,15.29846,0.193,0.496,9.356
771657,36.0,6242.0,15.29652,0.193,0.498,9.355
773843,36.0,8428.0,15.29747,0.193,0.5,9.355
776029,36.0,10614.0,15.2896,0.193,0.497,9.355
778215,36.0,12800.0,15.28725,0.193,0.498,9.355
780401,36.0,14986.0,15.28487,0.193,0.496,9.354
782587,36.0,17172.0,15.28339,0.192,0.498,9.353
784773,36.0,19358.0,15.2795,0.193,0.5,9.352
786959,36.0,21544.0,15.28098,0.193,0.5,9.351
789145,37.0,1861.0,15.285,0.193,0.5,9.35
791331,37.0,4047.0,15.26927,0.193,0.497,9.349
793517,37.0,6233.0,15.265,0.193,0.497,9.348
795703,37.0,8419.0,15.26599,0.193,0.496,9.347
797889,37.0,10605.0,15.26269,0.193,0.497,9.347
800075,37.0,12791.0,15.26201,0.193,0.497,9.346
802261,37.0,14977.0,15.25933,0.193,0.498,9.346
804447,37.0,17163.0,15.26008,0.192,0.498,9.345
806633,37.0,19349.0,15.25568,0.193,0.5,9.344
808819,37.0,21535.0,15.25814,0.193,0.499,9.343
811005,38.0,1852.0,15.23624,0.193,0.5,9.341
813191,38.0,4038.0,15.25867,0.193,0.497,9.341
815377,38.0,6224.0,15.25496,0.193,0.498,9.34
817563,38.0,8410.0,15.24689,0.193,0.496,9.34
819749,38.0,10596.0,15.24645,0.192,0.496,9.339
821935,38.0,12782.0,15.24376,0.193,0.499,9.339
824121,38.0,14968.0,15.24383,0.193,0.498,9.338
826307,38.0,17154.0,15.24712,0.192,0.497,9.337
828493,38.0,19340.0,15.24044,0.193,0.498,9.337
830679,38.0,21526.0,15.24002,0.193,0.496,9.336
832865,39.0,1843.0,15.23574,0.192,0.498,9.335
835051,39.0,4029.0,15.2435,0.192,0.496,9.335
837237,39.0,6215.0,15.23777,0.192,0.497,9.333
839423,39.0,8401.0,15.23092,0.192,0.496,9.333
841609,39.0,10587.0,15.22299,0.192,0.5,9.333
843795,39.0,12773.0,15.21639,0.192,0.496,9.333
845981,39.0,14959.0,15.21222,0.192,0.499,9.332
848167,39.0,17145.0,15.21207,0.192,0.498,9.331
850353,39.0,19331.0,15.20555,0.192,0.501,9.331
852539,39.0,21517.0,15.20451,0.192,0.498,9.33
854725,40.0,1834.0,15.21281,0.192,0.502,9.329
856911,40.0,4020.0,15.1999,0.192,0.497,9.328
859097,40.0,6206.0,15.19461,0.192,0.5,9.327
861283,40.0,8392.0,15.19381,0.192,0.498,9.326
863469,40.0,10578.0,15.19358,0.192,0.5,9.326
865655,40.0,12764.0,15.19195,0.192,0.5,9.326
867841,40.0,14950.0,15.19073,0.192,0.498,9.326
870027,40.0,17136.0,15.18918,0.192,0.499,9.325
872213,40.0,19322.0,15.18516,0.192,0.5,9.324
874399,40.0,21508.0,15.1869,0.192,0.498,9.323
876585,41.0,1825.0,15.17288,0.192,0.5,9.322
878771,41.0,4011.0,15.17368,0.192,0.498,9.322
880957,41.0,6197.0,15.17085,0.192,0.499,9.322
883143,41.0,8383.0,15.17417,0.192,0.498,9.321
885329,41.0,10569.0,15.16753,0.192,0.499,9.321
887515,41.0,12755.0,15.16579,0.192,0.5,9.32
889701,41.0,14941.0,15.16263,0.192,0.498,9.32
891887,41.0,17127.0,15.16344,0.192,0.499,9.319
894073,41.0,19313.0,15.16017,0.192,0.498,9.318
896259,41.0,21499.0,15.15996,0.192,0.498,9.318
898445,42.0,1816.0,15.1618,0.192,0.5,9.316
900631,42.0,4002.0,15.16117,0.192,0.497,9.316
902817,42.0,6188.0,15.15566,0.192,0.499,9.315
905003,42.0,8374.0,15.15313,0.192,0.499,9.315
907189,42.0,10560.0,15.14916,0.192,0.502,9.314
909375,42.0,12746.0,15.14632,0.192,0.499,9.314
911561,42.0,14932.0,15.14375,0.192,0.499,9.314
913747,42.0,17118.0,15.14134,0.191,0.498,9.313
915933,42.0,19304.0,15.13711,0.192,0.501,9.312
