iteration,epoch,minibatch,cost,mode_prime,trip_purp,trip_km
747611,35.0,4065.0,12.39177,0.185,0.448,9.328
749797,35.0,6251.0,12.38618,0.185,0.449,9.366
751983,35.0,8437.0,12.38794,0.184,0.449,9.343
754169,35.0,10623.0,12.38083,0.185,0.449,9.315
756355,35.0,12809.0,12.38041,0.185,0.449,9.331
758541,35.0,14995.0,12.37869,0.185,0.449,9.313
760727,35.0,17181.0,12.37876,0.185,0.448,9.331
762913,35.0,19367.0,12.37239,0.185,0.449,9.367
765099,35.0,21553.0,12.37271,0.185,0.449,9.334
767285,36.0,1870.0,12.35947,0.185,0.449,9.331
769471,36.0,4056.0,12.36645,0.185,0.449,9.328
771657,36.0,6242.0,12.35902,0.185,0.449,9.358
773843,36.0,8428.0,12.35897,0.184,0.449,9.315
776029,36.0,10614.0,12.35062,0.185,0.449,9.328
778215,36.0,12800.0,12.34497,0.184,0.449,9.304
780401,36.0,14986.0,12.34328,0.185,0.449,9.304
782587,36.0,17172.0,12.34406,0.185,0.448,9.324
784773,36.0,19358.0,12.33804,0.185,0.449,9.346
786959,36.0,21544.0,12.33786,0.185,0.448,9.33
789145,37.0,1861.0,12.32596,0.185,0.449,9.333
791331,37.0,4047.0,12.30885,0.185,0.448,9.325
793517,37.0,6233.0,12.31807,0.184,0.45,9.349
795703,37.0,8419.0,12.31844,0.184,0.449,9.314
797889,37.0,10605.0,12.31256,0.184,0.449,9.31
800075,37.0,12791.0,12.31443,0.185,0.448,9.306
802261,37.0,14977.0,12.31368,0.184,0.449,9.29
804447,37.0,17163.0,12.31221,0.185,0.448,9.315
806633,37.0,19349.0,12.3072,0.184,0.448,9.314
808819,37.0,21535.0,12.30693,0.184,0.448,9.299
811005,38.0,1852.0,12.29795,0.185,0.448,9.329
813191,38.0,4038.0,12.31409,0.185,0.448,9.292
815377,38.0,6224.0,12.29958,0.185,0.449,9.329
817563,38.0,8410.0,12.29818,0.184,0.448,9.3
819749,38.0,10596.0,12.29013,0.184,0.449,9.289
821935,38.0,12782.0,12.28232,0.184,0.448,9.302
824121,38.0,14968.0,12.28524,0.185,0.448,9.291
826307,38.0,17154.0,12.28727,0.184,0.448,9.3
828493,38.0,19340.0,12.28177,0.184,0.448,9.313
830679,38.0,21526.0,12.2809,0.185,0.448,9.303
832865,39.0,1843.0,12.27939,0.184,0.448,9.314
835051,39.0,4029.0,12.26856,0.185,0.448,9.303
837237,39.0,6215.0,12.26059,0.184,0.449,9.316
839423,39.0,8401.0,12.25754,0.184,0.448,9.299
841609,39.0,10587.0,12.24884,0.184,0.448,9.278
843795,39.0,12773.0,12.24071,0.184,0.448,9.292
845981,39.0,14959.0,12.24265,0.184,0.448,9.287
848167,39.0,17145.0,12.2426,0.184,0.447,9.295
850353,39.0,19331.0,12.23874,0.184,0.448,9.298
852539,39.0,21517.0,12.23709,0.184,0.447,9.281
854725,40.0,1834.0,12.26029,0.184,0.448,9.311
856911,40.0,4020.0,12.25102,0.184,0.447,9.262
859097,40.0,6206.0,12.24271,0.184,0.447,9.303
861283,40.0,8392.0,12.23846,0.184,0.448,9.284
863469,40.0,10578.0,12.23199,0.184,0.448,9.272
865655,40.0,12764.0,12.22549,0.184,0.447,9.27
867841,40.0,14950.0,12.22278,0.184,0.447,9.265
870027,40.0,17136.0,12.22135,0.184,0.446,9.291
872213,40.0,19322.0,12.21884,0.184,0.446,9.305
874399,40.0,21508.0,12.21623,0.184,0.446,9.284
876585,41.0,1825.0,12.22297,0.184,0.447,9.303
878771,41.0,4011.0,12.21052,0.184,0.447,9.27
880957,41.0,6197.0,12.20448,0.184,0.447,9.312
883143,41.0,8383.0,12.19902,0.184,0.446,9.271
885329,41.0,10569.0,12.19718,0.184,0.447,9.271
887515,41.0,12755.0,12.19265,0.184,0.446,9.261
889701,41.0,14941.0,12.18977,0.184,0.447,9.265
891887,41.0,17127.0,12.19066,0.184,0.446,9.286
894073,41.0,19313.0,12.1883,0.184,0.446,9.284
896259,41.0,21499.0,12.18814,0.184,0.446,9.256
898445,42.0,1816.0,12.17196,0.184,0.447,9.275
900631,42.0,4002.0,12.1727,0.184,0.445,9.257
902817,42.0,6188.0,12.17289,0.184,0.445,9.291
905003,42.0,8374.0,12.17391,0.184,0.446,9.254
907189,42.0,10560.0,12.16882,0.184,0.447,9.258
909375,42.0,12746.0,12.16175,0.184,0.446,9.253
911561,42.0,14932.0,12.16014,0.184,0.446,9.271
913747,42.0,17118.0,12.16134,0.184,0.447,9.244
915933,42.0,19304.0,12.15635,0.184,0.446,9.277
918119,42.0,21490.0,12.15675,0.184,0.446,9.256
920305,43.0,1807.0,12.18084,0.184,0.445,9.27
922491,43.0,3993.0,12.17324,0.184,0.445,9.25
924677,43.0,6179.0,12.1602,0.184,0.446,9.279
926863,43.0,8365.0,12.154,0.183,0.446,9.247
929049,43.0,10551.0,12.14443,0.183,0.447,9.252
931235,43.0,12737.0,12.14143,0.184,0.445,9.243
933421,43.0,14923.0,12.14175,0.184,0.446,9.252
935607,43.0,17109.0,12.14477,0.184,0.446,9.247
937793,43.0,19295.0,12.14102,0.183,0.445,9.258
939979,43.0,21481.0,12.13898,0.183,0.446,9.24
942165,44.0,1798.0,12.14928,0.184,0.446,9.26
944351,44.0,3984.0,12.12057,0.183,0.444,9.241
946537,44.0,6170.0,12.11127,0.184,0.444,9.287
948723,44.0,8356.0,12.10468,0.184,0.446,9.237
950909,44.0,10542.0,12.09833,0.183,0.446,9.248
953095,44.0,12728.0,12.09649,0.183,0.445,9.229
955281,44.0,14914.0,12.09808,0.184,0.446,9.244
